"新指标无需填写，系统自动生成。
更新指标输入编号","必填：与选项保持一致
/
财务管理
仓储管理
产销协调
客服管理
商品企划
平台运营
营运管理
培训管理
旺礼卡管理",必填：与选项保持一致，选项在分类管理编得/新增，与业务域关联,必填：不可空值,"必填：与选项保持一致1级
2级
3级
4级","必填：与选项保持一致基础指标
存量指标
复合指标
派生指标
非量化指标","有值：指标编号
无值：不填写","必填：与选项保持一致无需计算
待计算
待验证
已上线
已下线",必填：不可空值,"有值：文本输入
无值：不填写","有值：与选项保持一致
无值：不填写或-等于-
考核指标
参考指标
一般指标
-","有值：数字
无值：不填写","有值：数字
无值：不填写","必填：与选项保持一致
见sheet2单位库","有值：文本
无值：不填写","有值：与选项保持一致
格式：XX部
无值：不填写","有值：工号
格式：000XXX23
无值：不填写","有值：姓名
无值：不填写","必填：与选项保持一致按时间进度
不按时间进度
不需计算","必填：与选项保持一致是
否",必填：文本输入,"有值：与选项保持一致
无值：不填写","有值：与选项保持一致
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致，多选用,隔开
时间维度
组织维度
产品维度
渠道维度
行政区划
岗位角色
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写","有值：与选项保持一致
否或无值：等于否","有值：文本
无值：不填写",,,
24,产销协调,服务,上架率,1级,基础指标,160,已上线,上架SKU数/总SKU数,当天晚上常态库存箱数>含当天往前90天内常态日均销量 或 当日销量>含当天往前90天内常态日均销量,一般指标,,,%,监控商品缺货情况，便于尽快补充库存，减少商品缺货对销量的影响,,,,不按时间进度,否,平均值,,,,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
25,产销协调,服务,订货到仓满足率,1级,基础指标,,已上线,按期到仓订单金额/订单总金额,去除非食品：周边、文宣品、水神等,一般指标,,,%,监控供货是否满足采购单，针对偏差金额，及时联动处理，减少生产差异对平台售卖的影响,,,,不按时间进度,否,不需计算,,,,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
27,产销协调,服务,A类品上架率,3级,派生指标,160,已上线,A类品上架SKU数/总SKU数,去除标签为汰换的A类品,一般指标,,,%,监控商品缺货情况，便于尽快补充库存，减少商品缺货对销量的影响,,,,不按时间进度,否,平均值,,,月度考核时，取当月A类SKU上架天数相加/当月天数/4/总A类SKU数,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
28,产销协调,服务,B类品上架率,2级,派生指标,,已上线,B类品上架SKU数/总SKU数,去除标签为A的B类品，去除当月新品,一般指标,,,%,监控商品缺货情况，便于尽快补充库存，减少商品缺货对销量的影响,,,,不按时间进度,否,不需计算,,,月度考核时，取当月B类SKU上架天数相加/当月天数/4/总B类SKU数,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
30,营运管理,销售,造旺本品盘价业绩（当时）,1级,基础指标,,已上线,统计期内盘价业绩-关联到原订单的退货盘价业绩；造旺本品；现金业绩+旺金币业绩,造旺本品；当时产品组；现金业绩+旺金币业绩,一般指标,,,元,关注造旺主营产品业绩达成，提升业绩体量,,,,按时间进度,是,同月度逻辑,,,0202版实时数据,,ads,ads_bigtable_organization,zwbppjyj_past_30,是,,,,,,,,,每半小时,徐鑫,240202版,
32,营运管理,销售,盘价业绩目标达成率,1级,基础指标,,已上线,盘价业绩/盘价业绩目标,业绩与目标均不包含旺旺经典品项,一般指标,,,%,时刻提醒业务总体目标达成情况，提升业绩,,,,按时间进度,是,同月度逻辑,,,0202版实时数据,,ads,ads_bigtable_organization,pjyjmbdcl_32,是,pjyjmbdcl_32_hb,是,pjyjmbdcl_32_tb,是,,,,,每半小时,徐鑫,240202版,
33,营运管理,销售,销售业绩,1级,基础指标,,已上线,合伙人售卖给客户的业绩,不含旺旺经典品项,一般指标,,,元,时刻提醒业务业绩达成情况，提升业绩体量,,,,按时间进度,否,同月度逻辑,,, ,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
34,营运管理,销售,利润额,1级,基础指标,,已上线,销售业绩-盘价业绩,不含旺旺经典品项,一般指标,,,元,关注合伙人盈利情况，提升合伙人作业积极性，提升业绩体量,,,,按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
35,营运管理,销售,订单去0利润率,1级,基础指标,,已上线,利润额/盘价业绩,盘价业绩剔除整笔利润额为0的订单,一般指标,,,%,关注合伙人盈利情况，提升合伙人作业积极性，提升业绩体量,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
36,营运管理,销售,交易客户数,2级,基础指标,,已上线,统计期内业绩>0的业务人数；零食系统组和直营组客户指系统,1、盘价业绩>0；2、所有业务人员，不需筛选人员身份，取memberkey去重计数,一般指标,,,人,分析当前交易客户数，改善客户开发及引导下单动作，增加客户数，提升业绩体量,,,,按时间进度,是,同月度逻辑,,,0202版实时数据,,ads,ads_bigtable_organization,jykhs_36,是,jykhs_36_hb,是,jykhs_36_tb,是,,,,,每半小时,徐鑫,250725版,
37,营运管理,销售,客单价,2级,基础指标,,已上线,盘价业绩/交易客户数；零食系统组和直营组客户指系统,,一般指标,,,元,提升客户下单金额、提升业绩体量,,,,按时间进度,是,同月度逻辑,,,0202版实时数据,,ads,ads_bigtable_organization,kdj_37,是,kdj_37_hb,是,kdj_37_tb,是,,,,,每半小时,徐鑫,250725版,
38,营运管理,销售,订单数,3级,基础指标,,已上线,订单号去重计数,需判断总盘价业绩>0,一般指标,,,笔,时刻提醒业务订单进度，加快客户开发，提升业绩体量,,,,按时间进度,是,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
39,营运管理,销售,交易频次,4级,基础指标,,已上线,订单数/交易客户数,,一般指标,,,笔,帮助业务合理规划拜访维护时间，提升客情，提升业绩体量,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
40,营运管理,销售,单单价,4级,基础指标,,已上线,盘价业绩/订单数,,一般指标,,,元,提升客户下单金额、降低运费、提升业绩体量,,,,不按时间进度,否,同月度逻辑,,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
41,营运管理,销售,新客户数,3级,基础指标,,已上线,统计期内首次下单，且之前未下过单的业务人数；零食系统组和直营组客户指系统,1、盘价业绩>0；2、所有业务人员，不需筛选人员身份，取memberkey去重计数；3、分组按照分组计算，全组按照不分组计算,一般指标,,,人,分析当前新客户数，改善客户开发动作，增加客户数，提升业绩体量,,,,按时间进度,是,同月度逻辑,是,,0202版实时数据,,ads,ads_bigtable_organization,xkhs_41,是,xkhs_41_hb,是,xkhs_41_tb,是,,,,,每半小时,徐鑫,250725版,
42,营运管理,销售,老客户数,3级,基础指标,,已上线,统计期内下单，且统计期内之前下过单的业务人数；零食系统组和直营组客户指系统,1、盘价业绩>0；2、所有业务人员，不需筛选人员身份，取memberkey去重计数；3、分组按照分组计算，全组按照不分组计算,一般指标,,,人,分析老客户开发维护经验，帮助新客户开发，提升业绩体量,,,,按时间进度,是,同月度逻辑,是,,0202版实时数据,,ads,ads_bigtable_organization,lkhs_42,是,lkhs_42_hb,是,lkhs_42_tb,是,,,,,每半小时,徐鑫,250725版,
43,营运管理,销售,激活客户数,3级,基础指标,,已上线,距上一次下单超过60天的老客户数,1、盘价业绩>0；2、所有业务人员，不需筛选人员身份，取memberkey去重计数；3、分组按照分组计算，全组按照不分组计算,一般指标,,,人,分析总结客户开发维护经验，帮助客户的开发，提升业绩体量,,,,按时间进度,是,不需计算,是,,,,,,,,,,,,,,,,,夏昭,未在指定数据范围中找到对应值。,
44,营运管理,销售,复购客户数,3级,基础指标,,已上线,老客户中，上个统计期下单且在本统计期也下单的客户数,1、盘价业绩>0；2、所有业务人员，不需筛选人员身份，取memberkey去重计数；3、分组按照分组计算，全组按照不分组计算,一般指标,,,人,分析当总结客户开发维护经验，帮助客户的开发，提升业绩体量,,,,按时间进度,是,同月度逻辑,是,,0426版实时数据,,ads,ads_bigtable_organization,fgkhs_44,是,fgkhs_44_hb,是,fgkhs_44_tb,是,,,,,每半小时,徐鑫,240830版,
49,营运管理,销售,开单合伙人数,2级,基础指标,,已上线,统计周期内盘价业绩>0的合伙人数,取普通订单和预订单业绩；普通订单以下单时间统计，预订单以发货时间统计；不含旺旺经典品项,一般指标,,,个,调整业务管理动作，提升业绩体量,,,,按时间进度,否,同月度逻辑,是,,,,,,,,,,,,,,,,,徐鑫,未在指定数据范围中找到对应值。,
50,营运管理,销售,合伙人交易率（当时）,1级,基础指标,,已上线,在职且开单合伙人数/合伙人在职人数；零食系统组和直营组指启用且统计期内交易过的系统数/启用系统数,"1）在岗人员取统计周期内最后一天在岗的所有类型合伙人；
2）在职且开单合伙人按当时产品组；",一般指标,,,%,调整业务管理动作，提升业绩体量,,,,按时间进度,是,同月度逻辑,是,,,,ads,ads_bigtable_organization,hhrjyl_50,是,,,,,,,,,每半小时,徐鑫,250725版,
51,产销协调,销售,销售预估达成率,2级,基础指标,161,已上线,"1、非管控品：实际出货箱数/预估箱数；
2、管控品：实际出货箱数/分配数量（调整后）",1.盘价业绩取常态业绩，去除异常主品-单品搭赠；2.未提报销售预估的sku也需计算；3.实际业绩和预估金额都不含旺旺经典品项,一般指标,,,%,监控销售预估达成偏差是否在合理范围内。超过销售预估及时追加货需，低于销售预估联动运营调拨及处理，减少异常库存，从而更好的支持业绩,,,,不按时间进度,是,同月度逻辑,,,0202版实时数据,,,,,,,,,,,,,,,翁丽佳,未在指定数据范围中找到对应值。,
52,营运管理,销售,主推品业绩达成率,1级,基础指标,,已上线,主推品总业绩/主推品业绩目标,实际业绩取普通订单和预订单盘价业绩,一般指标,,,%,让业务时刻了解当前主推品达成进度，提高主推品业绩达成。,,,,按时间进度,是,同月度逻辑,,,,,ads,ads_bigtable_organization,ztpdcl_52,是,,,,,,,,,每半小时,徐鑫,240830版,
